review_row,source_line,x,y,measured_cm,radius_px,nearest_neighbor_px,median_8_neighbor_px,local_neighbor_median_cm,local_residual_cm,abs_local_residual_cm,local_mad_cm,robust_z_vs_neighbors,repair_note
355,355,26,-262,202.04,263.28691574022434,1.0,6.697811566101118,175.37,26.669999999999987,26.669999999999987,15.240000000000009,1.1803588290840403,
383,383,-150,-190,199.5,242.0743687382041,1.4142135623730951,3.914213562373095,172.83,26.669999999999987,26.669999999999987,15.239999999999995,1.1803588290840414,
61,62,-20,245,209.66,245.81497106563708,1.0,2.0,182.99,26.669999999999987,26.669999999999987,11.430000000000007,1.573811772112054,
362,362,-102,-128,39.480000000000004,163.67040050051813,6.708203932499369,23.633763883166893,64.245,-24.765,24.765,15.239999999999998,1.0960474841494674,
300,300,170,-221,196.96,278.8207309365643,1.0,5.41547594742265,172.82999999999998,24.130000000000024,24.130000000000024,12.699999999999989,1.2815324430055333,
360,360,-70,-84,12.81,109.34349546269316,4.123105625617661,47.327552814968996,35.67,-22.86,22.86,15.24,1.0117361392148927,
119,120,-233,-4,212.2,233.03433223454437,1.4142135623730951,2.9208096264818897,189.34,22.859999999999985,22.859999999999985,10.159999999999997,1.5176042088223387,
205,206,-168,158,199.5,230.62523712724936,0.0,2.414213562373095,177.91,21.590000000000003,21.590000000000003,12.700000000000003,1.1466342911102119,
208,209,-5,250,204.58,250.04999500099976,2.23606797749979,4.061552812808831,182.99,21.590000000000003,21.590000000000003,13.969999999999999,1.0423948101001927,
361,361,-69,-88,14.08,111.8257573191436,4.123105625617661,44.53557839085674,35.67,-21.590000000000003,21.590000000000003,15.24,0.9555285759251767,
392,392,-8,179,68.69,179.17868176767013,4.47213595499958,7.8481919625832735,47.1,21.589999999999996,21.589999999999996,2.539999999999999,4.318,
289,290,277,-3,163.9416,277.01624501101014,1.4142135623730951,8.154234499766936,185.53,-21.588400000000007,21.588400000000007,8.89,1.6379275941377425,split malformed CSV line 290: first repaired row
363,363,-105,-134,47.1,170.23806859806652,6.708203932499369,21.977213872503274,68.055,-20.955000000000005,20.955000000000005,7.619999999999997,1.8548495885606378,
