csv_line,x,y,measured_cm,radius_px,nearest_neighbor_px,local_neighbor_median_cm,local_residual_cm,abs_local_residual_cm,robust_z_vs_neighbors
304,148,-198,108.06,247.20032362438363,3.1622776601683795,111.87,-3.8100000000000023,3.8100000000000023,0.22483025315886507
132,-202,4,82.66,202.03960007879644,1.0,78.85,3.8100000000000023,3.8100000000000023,0.40469445568595724
137,-194,3,69.96000000000001,194.02319448973105,2.23606797749979,73.77000000000001,-3.8100000000000023,3.8100000000000023,0.40469445568595724
221,-12,194,59.8,194.3707796969493,4.123105625617661,63.61,-3.8100000000000023,3.8100000000000023,0.4046944556859575
106,-17,141,25.51,142.0211251891774,1.0,21.7,3.8100000000000023,3.8100000000000023,0.7620000000000005
87,-19,207,80.12,207.87015177749788,1.4142135623730951,83.93,-3.8100000000000023,3.8100000000000023,0.40469445568595724
93,-21,196,64.88,197.12178976460214,1.4142135623730951,68.69,-3.8100000000000023,3.8100000000000023,0.40469445568595724
226,-12,177,44.56,177.40631330367023,3.1622776601683795,48.370000000000005,-3.8100000000000023,3.8100000000000023,0.7620000000000005
315,78,-118,26.78,141.4496376806954,6.4031242374328485,30.59,-3.8099999999999987,3.8099999999999987,0.26979630379063807
376,121,75,26.78,142.35870187663275,29.068883707497267,30.59,-3.8099999999999987,3.8099999999999987,0.224830253158865
149,-150,7,26.78,150.16324450410627,5.0990195135927845,30.59,-3.8099999999999987,3.8099999999999987,0.33724537973829755
243,107,103,26.78,148.51935900750448,12.041594578792296,30.59,-3.8099999999999987,3.8099999999999987,0.224830253158865
148,-155,6,29.32,155.11608556174951,3.0,33.129999999999995,-3.809999999999995,3.809999999999995,0.3372453797382972
14,-118,138,52.18,181.57092278225608,2.23606797749979,48.370000000000005,3.809999999999995,3.809999999999995,0.36790405062359655
230,-16,163,34.4,163.783393541592,1.4142135623730951,38.209999999999994,-3.809999999999995,3.809999999999995,0.6744907594765939
103,-17,162,34.4,162.88953311984167,1.4142135623730951,38.209999999999994,-3.809999999999995,3.809999999999995,0.6744907594765939
