review_row,source_line,x,y,radius_px,angle_deg,measured_cm,radius_roll_median_cm,radius_residual_cm,repair_note
313,313,153.0,-205.0,255.80070367377803,-53.26449408465858,123.3,136.0,-12.700000000000003,
136,137,-214.0,-2.0,214.00934559032697,-179.46454101443547,115.68,102.98,12.700000000000003,
310,310,165.0,-218.0,273.40263349134,-52.87862285926525,171.56,184.26,-12.699999999999989,
294,294,279.0,14.0,279.35103364763125,2.872647589161938,202.04,189.34,12.699999999999989,
303,303,156.0,-205.0,257.60628874311277,-52.72975016219097,125.84,138.54,-12.699999999999989,
65,66,-20.0,244.0,244.8182999695897,94.68589983950271,191.88,179.18,12.699999999999989,
312,312,156.0,-208.0,260.0,-53.13010235415598,130.92000000000002,143.62,-12.699999999999989,
296,296,271.0,11.0,271.2231553536681,2.3243829709481543,161.4,174.1,-12.699999999999989,
307,307,163.0,-214.0,269.0074348414928,-52.70411927751283,158.86,171.56,-12.699999999999989,
138,139,-211.0,2.0,211.00947846009194,179.4569283062762,105.52,92.82000000000001,12.699999999999989,
216,217,-6.0,239.0,239.07530194480566,91.43808570740366,153.78,166.48,-12.699999999999989,
269,270,197.0,162.0,255.05489605181077,39.431658160732795,125.84,138.54,-12.699999999999989,
298,298,171.0,-221.0,279.4315658618403,-52.26888492164752,204.58,193.15,11.430000000000007,
226,227,-6.0,218.0,218.08255317654368,91.57655005518373,95.36,106.79,-11.430000000000007,
127,128,-229.0,-1.0,229.00218339570478,-179.74980167980246,171.56,160.13,11.430000000000007,
299,299,169.0,-222.0,279.00716836669267,-52.7193869553909,199.5,188.07,11.430000000000007,
199,200,-165.0,155.0,226.38462845343543,136.78991060824606,161.4,149.97,11.430000000000007,
83,84,-20.0,221.0,221.90313201935658,95.1710524180025,108.06,119.49,-11.429999999999993,
88,89,-22.0,215.0,216.12265036316762,95.84248926619162,95.36000000000001,106.79,-11.429999999999993,
380,380,-148.0,-188.0,239.2655428598109,-128.21102542556122,176.64000000000001,166.48,10.160000000000025,
93,94,-20.0,208.0,208.95932618574363,95.49232455712743,82.66,92.82000000000001,-10.16000000000001,
89,90,-21.0,214.0,215.02790516581794,95.60453906239006,92.82,102.98,-10.16000000000001,
189,190,-153.0,142.0,208.7414668914636,137.13546344237665,97.9,87.74,10.16000000000001,
396,396,-163.0,-4.0,163.04907236779974,-178.59425073895366,44.56,34.4,10.160000000000004,
192,193,-157.0,147.0,215.07673049402624,136.8840502310918,113.14,102.98,10.159999999999997,
367,367,-122.0,-154.0,196.468827043885,-128.38653951768526,77.58,67.42,10.159999999999997,
278,279,213.0,171.0,273.1483113621609,38.75808565258495,186.8,176.64000000000001,10.159999999999997,
287,288,280.0,-2.0,280.0071427660373,-0.4092486080349388,179.18,189.34,-10.159999999999997,
258,259,143.0,125.0,189.9315666233499,41.15754687208514,49.64,59.8,-10.159999999999997,
90,91,-20.0,213.0,213.9369065869655,95.36415776233005,90.28,100.44,-10.159999999999997,
277,278,212.0,170.0,271.7425251961864,38.7256654429182,184.26,174.1,10.159999999999997,
309,309,167.0,-218.0,274.6142749385035,-52.5458976091145,174.1,184.26,-10.159999999999997,
300,300,170.0,-221.0,278.8207309365643,-52.43140797117251,196.96,186.8,10.159999999999997,
286,287,280.0,-2.0,280.0071427660373,-0.4092486080349388,184.26,193.15,-8.890000000000015,
338,338,24.0,-205.0,206.40009689920205,-83.32259782195875,73.77,82.66,-8.89,
142,143,-202.0,3.0,202.02227599945508,179.14913513526972,85.2,76.31,8.89,
87,88,-20.0,217.0,217.91970998512272,95.2658403117791,97.9,106.79,-8.89,
91,92,-20.0,211.0,211.94574777522666,95.41470207095567,87.74,96.63,-8.89,
140,141,-207.0,3.0,207.02173798903343,179.169684513742,92.82000000000001,83.93,8.89,
229,230,-8.0,205.0,205.15603817582362,92.23479885873887,75.04,83.93,-8.89,
37,38,-146.0,172.0,225.61028345356956,130.32583628886923,143.62,134.73000000000002,8.889999999999986,
33,34,-143.0,171.0,222.91253890259293,129.90430008044137,130.92000000000002,123.3,7.620000000000019,
373,373,-137.0,-176.0,223.03587155433092,-127.8975144322857,123.3,130.92000000000002,-7.620000000000019,
191,192,-156.0,145.0,212.9812198293549,137.09293430528817,108.06,100.44,7.6200000000000045,
64,65,-19.0,244.0,244.73863609981976,94.4525716313657,186.8,179.18,7.6200000000000045,
232,233,-12.0,194.0,194.3707796969493,93.53955916854996,59.8,67.42,-7.6200000000000045,
308,308,165.0,-217.0,272.6059427085184,-52.75177915429671,166.48,174.1,-7.6200000000000045,
52,53,-148.0,184.0,236.13555429032706,128.81138403675843,196.96,189.34,7.6200000000000045,
146,147,-197.0,4.0,197.0406049523803,178.83679375475887,75.04,67.42,7.6200000000000045,
92,93,-22.0,209.0,210.1547049199708,96.00900595749452,85.2,92.82000000000001,-7.6200000000000045,
322,322,112.0,-156.0,192.04166214652486,-54.32359177813802,54.72,62.34,-7.6200000000000045,
273,274,205.0,167.0,264.41255643406953,39.16743625480866,153.78,161.4,-7.6200000000000045,
41,42,-149.0,175.0,229.83907413666634,130.4120218759275,156.32,163.94,-7.6200000000000045,
337,337,21.0,-199.0,200.10497245196083,-83.97600691768038,67.42,75.04,-7.6200000000000045,
365,365,-113.0,-146.0,184.6212338816963,-127.73888941889271,62.34,54.72,7.6200000000000045,
213,214,-6.0,244.0,244.07375934335914,91.40862873533848,171.56,179.18,-7.6200000000000045,
276,277,210.0,168.0,268.93121797217964,38.65980825409009,176.64000000000001,169.02,7.6200000000000045,
271,272,202.0,164.0,260.1922366251537,39.072495807609826,138.54,146.16,-7.6200000000000045,
31,32,-142.0,168.0,219.97272558205938,130.2057679333694,123.3,115.68,7.61999999999999,
96,97,-20.0,204.0,204.9780476051033,95.59933933652057,75.04,82.66,-7.61999999999999,
139,140,-210.0,2.0,210.00952359357422,179.4543424065843,100.44,92.82000000000001,7.61999999999999,
71,72,-20.0,239.0,239.83536019528063,94.78348094876746,158.86,166.48,-7.619999999999976,
347,347,25.0,-247.0,248.26195842295292,-84.2205141748441,141.08,148.7,-7.619999999999976,
32,33,-142.0,168.0,219.97272558205938,130.2057679333694,125.84,119.49,6.3500000000000085,
188,189,-152.0,142.0,208.00961516237658,136.94808500651496,92.82000000000001,86.47,6.3500000000000085,
190,191,-155.0,144.0,211.56795598577776,137.10692129068815,102.98,96.63,6.3500000000000085,
332,332,22.0,-138.0,139.74262055650738,-80.94211187138235,29.32,22.97,6.350000000000001,
39,40,-147.0,173.0,227.01982292302142,130.3549215741084,149.97,156.32,-6.349999999999994,
18,19,-131.0,149.0,198.39858870465787,131.32176127800662,76.31,69.96000000000001,6.349999999999994,
36,37,-145.0,171.0,224.2008028531566,130.2963852957068,140.445,134.73000000000002,5.714999999999975,
47,48,-149.0,178.0,232.13142829009604,129.93198187339485,179.18,174.1,5.0800000000000125,
231,232,-11.0,198.0,198.3053201505194,93.17983011986423,64.88,69.96000000000001,-5.0800000000000125,
29,30,-141.0,167.0,218.56349191939628,130.1747830728902,115.68,110.6,5.0800000000000125,
366,366,-120.0,-150.0,192.09372712298546,-128.6598082540901,69.96000000000001,64.88,5.0800000000000125,
23,24,-133.0,160.0,208.0600874747485,129.7350532453942,92.82000000000001,87.74,5.0800000000000125,
148,149,-194.0,3.0,194.02319448973105,179.11405340614576,69.96000000000001,64.88,5.0800000000000125,
369,369,-129.0,-164.0,208.65521800328887,-128.18807222611886,92.82000000000001,87.74,5.0800000000000125,
185,186,-146.0,134.0,198.17164277464119,137.45403167452707,75.04,69.96,5.0800000000000125,
102,103,-22.0,191.0,192.26284092356485,96.57055837164089,59.8,64.88,-5.079999999999998,
230,231,-10.0,200.0,200.24984394500785,92.86240522611175,69.96000000000001,75.04,-5.079999999999998,
141,142,-205.0,3.0,205.0219500443794,179.16158502559787,87.74,82.66,5.079999999999998,
101,102,-20.0,194.0,195.02820308868152,95.88598783302828,62.34,67.42,-5.079999999999998,
334,334,14.0,-169.0,169.57889019568444,-85.26441696497061,44.56,39.480000000000004,5.079999999999998,
144,145,-201.0,3.0,201.02238681301145,179.1449026037333,80.12,75.04,5.079999999999998,
143,144,-202.0,4.0,202.03960007879644,178.865578369023,82.66,77.58,5.079999999999998,
17,18,-132.0,147.0,197.56770991232347,131.92254460057563,75.04,69.96000000000001,5.079999999999998,
186,187,-150.0,136.0,202.47468977627796,137.80245151986676,82.66,77.58,5.079999999999998,
368,368,-125.0,-160.0,203.03940504246953,-127.99873244250468,85.2,80.12,5.079999999999998,
7,8,-110.0,124.0,165.75886099994776,131.57612875506933,34.4,39.48,-5.079999999999998,
363,363,-105.0,-134.0,170.23806859806652,-128.08161359330634,47.1,42.02,5.079999999999998,
147,148,-196.0,4.0,196.04081207748553,178.8308606720926,72.5,67.42,5.079999999999998,
95,96,-23.0,204.0,205.29247428973133,96.43265392413831,77.58,82.66,-5.079999999999998,
149,150,-192.0,4.0,192.04166214652486,178.80651057601798,67.42,62.34,5.079999999999998,
187,188,-151.0,140.0,205.91503102007877,137.1647891534535,87.74,82.66,5.079999999999998,
150,151,-191.0,3.0,191.02355875650522,179.10014028509562,64.88,59.8,5.079999999999998,
104,105,-20.0,186.0,187.0721785835617,96.13725594926198,54.72,59.8,-5.079999999999998,
94,95,-19.0,207.0,207.87015177749788,95.24433811071516,80.12,85.2,-5.079999999999998,
234,235,-12.0,185.0,185.3887806745597,93.7112838080209,52.18,57.26,-5.079999999999998,
25,26,-136.0,162.0,211.51832071950648,130.01366622876452,97.9,92.82000000000001,5.079999999999998,
371,371,-131.0,-171.0,215.41123461880997,-127.45507096124317,108.06,102.98,5.079999999999998,
257,258,134.0,121.0,180.54639292990598,42.081565279218445,44.56,49.64,-5.079999999999998,
359,359,-88.0,-120.0,148.8086019019062,-126.2538377374448,31.86,26.78,5.079999999999998,
256,257,125.0,120.0,173.27723451163456,43.830860672092584,39.480000000000004,44.56,-5.079999999999998,
325,325,80.0,-129.0,151.7926216915697,-58.19467107500306,31.86,26.78,5.079999999999998,
100,101,-21.0,196.0,197.12178976460214,96.11550356628541,64.88,69.96,-5.079999999999998,
283,284,285.0,-2.0,285.0070174574654,-0.40206904570558194,202.04,196.96,5.079999999999984,
215,216,-7.0,240.0,240.10206163213175,91.67065327139997,158.86,163.94,-5.079999999999984,
97,98,-21.0,201.0,202.09403751719148,95.96448710125313,72.50000000000001,77.58,-5.079999999999984,
270,271,199.0,163.0,257.2353008434107,39.32075028361505,133.46,138.54,-5.079999999999984,
44,45,-148.0,176.0,229.95651762887695,130.0607844578738,167.75,163.94,3.8100000000000023,
285,286,285.0,-1.0,285.00175438056516,-0.20103699783460577,189.34,193.15,-3.8100000000000023,
333,333,19.0,-159.0,160.13119621110684,-83.18564711059025,36.94,33.129999999999995,3.8100000000000023,
327,327,73.0,-114.0,135.36986370680884,-57.36649715321482,24.240000000000002,20.43,3.8100000000000023,
34,35,-144.0,171.0,223.55536227073597,130.10090754621226,134.73000000000002,130.92000000000002,3.8100000000000023,
27,28,-138.0,166.0,215.87033144922904,129.7376046004049,106.79,102.98,3.8100000000000023,
235,236,-12.0,183.0,183.3930205869351,93.75172907052598,49.64,53.45,-3.8100000000000023,
42,43,-149.0,175.0,229.83907413666634,130.4120218759275,160.13,163.94,-3.8100000000000023,
105,106,-20.0,183.0,184.08965207202712,96.2370800764585,50.91,54.72,-3.8100000000000023,
239,240,-15.0,171.0,171.6566340110396,95.0131137550358,39.480000000000004,43.29,-3.809999999999995,
28,29,-140.0,167.0,217.91970998512272,129.97388958430176,110.6,106.79,3.809999999999988,
372,372,-135.0,-174.0,220.22942582679545,-127.80652994470447,115.68,119.49,-3.809999999999988,
30,31,-142.0,167.0,219.20994502987313,130.37449412939492,119.49,115.68,3.809999999999988,
24,25,-134.0,162.0,210.23796041628637,129.5962086397503,96.63,92.82000000000001,3.809999999999988,
4,5,-101.0,114.0,152.3056138164316,131.53981677101356,26.018,29.32,-3.3019999999999996,
362,362,-102.0,-128.0,163.67040050051813,-128.55046529615774,39.480000000000004,36.305,3.1750000000000043,
8,9,-110.0,125.0,166.50825805346713,131.34777721969368,36.305,39.480000000000004,-3.1750000000000043,
391,391,138.0,122.0,184.19554826325202,41.47854662307776,57.895,54.72,3.1750000000000043,
214,215,-6.0,241.0,241.07467722678797,91.42615633559448,166.48,169.02,-2.5400000000000205,
275,276,208.0,168.0,267.37239947309445,38.927543592792304,169.02,166.48,2.5400000000000205,
98,99,-20.0,199.0,200.0024999843752,95.7390984980896,69.96,72.50000000000001,-2.5400000000000205,
240,241,-19.0,167.0,168.0773631397161,96.49077163447568,36.94,39.480000000000004,-2.5400000000000063,
26,27,-138.0,162.0,212.8097742116184,130.42607874009914,102.98,100.44,2.5400000000000063,
151,152,-188.0,3.0,188.0239346466295,179.085783239551,62.34,59.8,2.5400000000000063,
109,110,-18.0,170.0,170.95028517086482,96.04409216224111,39.48,42.02,-2.5400000000000063,
184,185,-142.0,131.0,193.19679086361657,137.30737299696221,67.42,64.88,2.5400000000000063,
358,358,-81.0,-111.0,137.41178988718545,-126.11934084947974,24.240000000000002,21.7,2.5400000000000027,
3,4,-96.0,108.0,144.49913494550754,131.63353933657018,22.97,25.51,-2.5400000000000027,
244,245,-16.0,141.0,141.90489773083945,96.47395596867231,21.7,24.240000000000002,-2.5400000000000027,
326,326,78.0,-118.0,141.4496376806954,-56.534620653644716,26.78,24.24,2.5400000000000027,
170,171,-90.0,83.0,122.42957159118053,137.31706238587134,14.08,16.62,-2.540000000000001,
153,154,-182.0,5.0,182.0686683644388,178.42633594589745,54.72,52.18,2.539999999999999,
335,335,14.0,-180.0,180.54362353736008,-85.55261514990951,52.18,49.64,2.539999999999999,
173,174,-107.0,91.0,140.46351839534705,139.6199234816604,21.7,24.24,-2.539999999999999,
241,242,-16.0,163.0,163.783393541592,95.6061659514666,34.4,36.94,-2.539999999999999,
154,155,-179.0,5.0,179.06981878585793,178.39997528485225,49.64,47.1,2.539999999999999,
236,237,-13.0,180.0,180.46883387443938,94.13085623327642,47.1,49.64,-2.539999999999999,
246,247,-17.0,136.0,137.05838172107534,97.1250163489018,19.16,21.7,-2.539999999999999,
