row_1based,dx,dy,r_px,theta_deg,measured_cm,model_cm,pct_err,robust_z
30,-152.0,110.0,187.6,144.1,99.805,100.31,-0.5,-0.12
46,-14.01,118.57,119.4,96.7,17.000999999999998,17.09,-0.5,-0.12
188,205.18,-25.15,206.7,-7.0,67.42,67.74,-0.5,-0.11
41,113.8,38.49,120.1,18.7,17.000999999999998,16.87,0.8,0.11
255,-55.0,199.0,206.5,105.4,136.0,134.97,0.8,0.11
122,162.8,96.88,189.4,30.8,54.72,54.32,0.7,0.11
86,145.2,5.45,145.3,2.1,26.78,26.89,-0.4,-0.1
159,203.01,36.15,206.2,10.1,67.42,67.68,-0.4,-0.1
131,-53.43,167.43,175.7,107.7,54.72,54.92,-0.4,-0.09
58,60.81,-100.4,117.4,-58.8,17.000999999999998,16.89,0.7,0.09
66,100.54,107.2,147.0,46.8,26.78,26.87,-0.4,-0.09
158,205.87,16.79,206.6,4.7,67.42,67.65,-0.3,-0.09
243,221.0,87.0,237.5,21.5,136.0,136.41,-0.3,-0.08
43,72.91,96.76,121.2,53.0,17.000999999999998,17.05,-0.3,-0.08
113,100.38,-136.62,169.5,-53.7,42.02,42.14,-0.3,-0.08
219,169.4,145.83,223.5,40.7,110.6,110.0,0.5,0.07
273,206.0,-120.0,238.4,-30.2,136.0,136.31,-0.2,-0.07
123,154.95,108.18,189.0,34.9,54.72,54.44,0.5,0.07
157,191.68,16.48,192.4,4.9,54.72,54.83,-0.2,-0.06
82,105.24,-89.91,138.4,-40.5,26.78,26.66,0.5,0.06
160,179.52,95.51,203.3,28.0,67.42,67.5,-0.1,-0.05
29,123.0,80.0,146.7,33.0,26.78,26.67,0.4,0.04
184,69.04,-184.23,196.7,-69.5,67.42,67.48,-0.1,-0.04
153,138.15,-129.51,189.4,-43.2,54.72,54.52,0.4,0.04
67,68.87,128.69,146.0,61.8,26.78,26.79,-0.0,-0.03
81,63.47,-120.62,136.3,-62.2,26.78,26.7,0.3,0.03
75,-136.89,-15.2,137.7,-173.7,26.78,26.77,0.0,-0.02
68,16.76,142.53,143.5,83.3,26.78,26.77,0.0,-0.02
136,-138.16,99.91,170.5,144.1,54.72,54.57,0.3,0.02
133,-112.05,130.63,172.1,130.6,54.72,54.58,0.3,0.02
290,-141.0,148.0,204.4,133.6,161.4,161.05,0.2,0.01
140,-168.07,4.85,168.1,178.3,54.72,54.67,0.1,-0.01
