x,y,measured_cm
127,183,136.0
104,197,136.0
58,207,136.0
21,212,136.0
-55,199,136.0
-102,173,136.0
-132,147,136.0
-156,118,136.0
-174,86,136.0
-189,34,136.0
-192,10,136.0
-191,-23,136.0
-182,-67,136.0
-169,-100,136.0
-133,-149,136.0
-97,-180,136.0
-56,-203,136.0
-17,-217,136.0
-13,-215,136.0
70,-213,136.0
141,-182,136.0
180,-153,136.0
206,-120,136.0
227,-70,136.0
234,-40,136.0
239,2,136.0
243,46,161.4
232,81,161.4
218,106,161.4
190,144,161.4
168,165,161.4
132,194,161.4
110,204,161.4
93,210,161.4
50,225,161.4
-54,203,161.4
-96,181,161.4
-116,170,161.4
-141,148,161.4
-177,89,161.4
-192,48,161.4
-197,-7,161.4
-197,-25,161.4
-181,-85,161.4
-169,-112,161.4
-143,-146,161.4
-107,-186,161.4
-81,-201,161.4
-39,-222,161.4
15,-225,161.4
52,-223,161.4
117,-208,161.4
142,-194,161.4
173,-170,161.4
199,-137,161.4
219,-108,161.4
236,-68,161.4
247,-36,161.4
247,17,161.4
